id;nom;genre
5920;Smoke & Thyme;burgers sandwiches salad american (new) barbeque
5945;Brixx Craft House;pubs bars american (traditional) nightlife cocktail bars sports bars gastropubs beer bar
5986;The Original Pancake House;breakfast & brunch
6008;Capitol Cellars;coffee & tea bars american (traditional) nightlife breakfast & brunch wine bars steakhouses american (new) local flavor wineries
6009;Petite 4;french beer wine & spirits
6023;Taj Mahal Homestyle Indian & Pakistani Cuisine;vegan vegetarian pakistani indian
6039;Quiznos;fast food sandwiches
6107;MOD Pizza;pizza
6146;Amigos Mexican Restaurant;mexican
6355;Rolling Tacos;food trucks seafood mexican street vendors
6465;Papa Murphy's;pizza
6497;Romano's Macaroni Grill;italian
6548;The Creperie Cafe;coffee & tea cafes french desserts creperies
6574;Ishtar Market and Restaurant;middle eastern
6581;Al-Sham Restaurant;mediterranean arabic
6594;Cafe Zupas;sandwiches salad soup american (new) desserts
6720;Gyro Shack;fast food sandwiches greek mediterranean
6792;Boise Auto Repair Mobile Tech Auto Repair;hawaiian parking self storage
6804;Jades Chopstick;chinese
6818;Five Guys;burgers fast food specialty food american (new)
6879;Baguette Deli;sandwiches vietnamese specialty food juice bars & smoothies ethnic food
6970;Quinn's Restaurant & Lounge;sandwiches pubs bars american (traditional) nightlife diners breakfast & brunch steakhouses lounges
7025;DK Donuts;bakeries donuts
7135;Latin Twist;food trucks caribbean latin american
7199;Siam Thai Restaurant;thai
7294;Sarah's Bagel Cafe Idaho;cafes
7537;3 Wood Pizza & Pub;sandwiches pizza salad gastropubs
7674;Madre - Boutique Taqueria;breakfast & brunch mexican beer wine & spirits tacos
7684;RamaPong;bars american (traditional) nightlife japanese ramen
7703;Sonic Drive-In;burgers fast food ice cream & frozen yogurt
7750;Papa Murphy's;pizza
7843;Lulu's Pizza;italian pizza food delivery services
7853;Jack in the Box;burgers fast food american (traditional) breakfast & brunch mexican tacos
7854;Parrilla Grill;mexican tex-mex
7924;Taqueria El Torito;mexican
7998;Carl's Jr;burgers fast food american (new)
8074;Taco Bell;fast food breakfast & brunch mexican tex-mex tacos
8101;The Gyro House;greek
8136;Westside Pizza;pizza food delivery services
8175;Kabob House;mediterranean indian middle eastern afghan
8199;Halal Meat Market and Restaurant;greek specialty food halal middle eastern meat shops
8227;Wasabi Sushi;bars nightlife sushi bars japanese
8249;Kodiak Grill;american (new)
8287;Kopper Kitchen;american (traditional)
8498;Coa De Jima;bars nightlife breakfast & brunch seafood cocktail bars salad mexican
8597;Blimpie;fast food sandwiches
8624;Sockeye Brewing;sandwiches pubs bars american (traditional) nightlife salad breweries american (new) gastropubs
8675;Carl's Jr;burgers fast food
8965;Chicago Connection - Overland;sandwiches pizza salad
9042;Rooster's Eatery and Catering;food trucks diners breakfast & brunch caterers
9084;Richard's;italian bars nightlife breakfast & brunch american (new) mediterranean
9202;Treasure Valley Coffee - Boise;coffee & tea
9207;The Ranch Scottish Highland Burgers;burgers
9214;Skippers Seafood & Chowder House;burgers seafood fish & chips
9310;Boise Thai Noodle House;salad thai noodles
9320;Timeout Sports Pub & Restaurant;pubs bars american (traditional) nightlife gluten-free
9373;Pho 79;vietnamese
9443;Moon's Kitchen Cafe;burgers breakfast & brunch cafes
9494;Panera Bread;bakeries sandwiches salad soup
9510;Joe's Crab Shack;american (traditional) seafood gluten-free
9516;Boise Bistro Market;coffee & tea sandwiches specialty food caterers american (new) beer wine & spirits comfort food food delivery services desserts
9561;Certified Kitchen + Bakery;coffee & tea bakeries breakfast & brunch american (new)
9569;Happy Teriyaki - Broadway BSU;bubble tea asian fusion seafood
9644;Port of Subs;sandwiches
9702;Home Team Sports;american (new) beer wine & spirits
9768;El Gallo Giro;bars nightlife seafood cocktail bars mexican beer wine & spirits tacos new mexican cuisine
9880;Bad Boy Burgers 2;burgers fast food
9959;Mongolian Bbq;chinese barbeque mongolian
10011;AeroCaffe;coffee & tea sandwiches cafes
10064;Nato's Mexican Food;mexican
10217;Papa John's Pizza;pizza
10225;Taco Time;mexican
10347;Palm Arabic;mediterranean middle eastern arabic
10369;A Taste of Thai;vietnamese asian fusion thai
10423;Torch the-A Gentlemen's Club;nightlife
10565;Arby's;fast food sandwiches
10651;McDonald's;coffee & tea burgers fast food
10723;Pair Restaurant;american (new)
10764;Bacon Boise;bars nightlife breakfast & brunch
10930;Pizzalchik;american (traditional) pizza chicken wings
10988;Fresh Off The Hook;seafood
10998;Cobby's Sandwich Shop;sandwiches
11028;Fork;burgers breakfast & brunch american (new)
11069;Modern Bar and Restaurant;bars nightlife breakfast & brunch wine bars cocktail bars american (new) beer wine & spirits hotels & travel wine tours
11103;Solid Grill and Bar;bars american (traditional) nightlife barbeque
11117;Chipotle Mexican Grill;fast food mexican
11151;Country Pride Restaurant;american (traditional)
11239;The Shak Hawaiian Cafe;beer wine & spirits barbeque hawaiian
11473;Rockie's Diner;diners
11537;El Tenampa;bars nightlife diners seafood cocktail bars mexican
11566;Baja Fresh;fast food caterers mexican tex-mex
11657;Trillium;american (new)
11677;IOU Sushi;sushi bars
11686;Papa Murphy's;pizza
11756;Taco Time;mexican
11870;Hawkins Pac-Out;coffee & tea burgers breakfast & brunch
11879;Anthony's Boise;american (traditional) seafood
11990;The Piper Pub & Grill;pubs bars american (traditional) nightlife
11995;State & Lemp;burgers american (new)
12090;Hilltop Station;burgers bars nightlife breakfast & brunch pizza beer bar barbeque desserts
12182;Lock Stock & Barrel;steakhouses
12307;Leaf Teahouse;vegan tea rooms
12433;Mai Thai;sushi bars asian fusion thai
12549;Firehouse Subs;fast food sandwiches
12681;Applebee's Grill + Bar;burgers bars american (traditional) nightlife steakhouses sports bars
12723;Cazba;greek mediterranean middle eastern
12826;BBQ4LIFE;sandwiches bars nightlife beer bar barbeque hawaiian vegan gluten-free
12860;Jimmy John's;fast food sandwiches food delivery services
12968;Genki Takoyaki;japanese street vendors
