id;nom;genre
5734;Roast Coffeehouse and Wine Bar;coffee & tea bars nightlife cafes wine bars
5749;Paws The Cat Cafe;coffee & tea cafes
5820;Fat Jakks;chinese filipino
5854;Burger Village;burgers
5859;Reinette Cafe & Patisserie;coffee & tea bakeries cafes
5901;V Sandwiches;sandwiches vietnamese
5930;DOSC;coffee & tea bars nightlife cafes steakhouses cocktail bars tapas/small plates
5948;Sushi Wasabi;sushi bars japanese
5950;Boston Pizza;italian pizza
6003;Lee House;korean asian fusion barbeque
6019;Szechuan Paramount Restaurant;chinese buffets
6071;BarBurrito - South Edmonton;fast food mexican
6080;Chili's Texas Grill;bars nightlife american (new) sports bars tex-mex canadian (new)
6094;Mundare Sausage House;ukrainian
6113;Moxie's Grill & Bar;bars american (traditional) nightlife steakhouses american (new) lounges canadian (new)
6123;Hudsons Canada's Pub;burgers pubs bars nightlife chicken wings sports bars canadian (new)
6134;Madison's Grill;breakfast & brunch american (new) canadian (new)
6139;Tzin Wine & Tapas;bars nightlife wine bars beer wine & spirits tapas bars
6175;Transcend Coffee - Ritchie Market;coffee & tea cafes
6180;Panago Pizza;pizza chicken wings salad food delivery services
6185;Chili's Texas Grill;bars nightlife american (new) sports bars tex-mex canadian (new)
6231;Shanghai 360;fast food chinese
6259;T.H.I.S. Place;coffee & tea ice cream & frozen yogurt vietnamese desserts
6269;Kyoto Japanese Cuisine;sushi bars japanese asian fusion
6302;Dover Kam Kitchen;chinese
6392;Fired Up BBQ;barbeque southern soul food
6408;Faculty Club;american (traditional)
6411;Crystal BBQ;vietnamese korean barbeque
6439;Rice Bowl Deluxe;asian fusion
6451;Burger Bar;burgers
6460;Medium Rare Carnivore Club;steakhouses
6515;New Dragon Express;seafood chinese
6536;Nam Kitchen Express;fast food vietnamese chinese
6542;Yianni's Backyard;greek
6562;Mayfield Veterinary Hospital;breakfast & brunch
6608;The Woodrack Cafe;coffee & tea cafes desserts
6609;Copa Cabana;mexican latin american
6675;McLeod Tavern;bars nightlife lounges canadian (new)
6692;Tasty Tom's;burgers diners breakfast & brunch american (new) canadian (new) modern european
6695;Thai Orchid Restaurant;thai
6754;The Red Piano;bars nightlife lounges cajun/creole jazz & blues music venues
6763;North 53;beer wine & spirits canadian (new)
6787;Kabsa  The Ultimate Cuisine;middle eastern
6800;Kings Garden Noodle House;noodles
6812;Chuck E. Cheese's;american (traditional) pizza indoor playcentre kids activities
6821;The BroKin Yolk;breakfast & brunch juice bars & smoothies poutineries
6824;Blue Quill Chinese Food;chinese
6861;Kebab Express;middle eastern
6877;New Asian Village Express;indian
6881;Buster's Pizza & Donair;pizza mediterranean poutineries
6895;Gangnam Street Food;korean
6926;Pizza 73;pizza
6927;Belgravia Hub;canadian (new)
6955;NOLA;nightlife cajun/creole music venues
6965;Tasty Noodle;chinese dim sum
6976;Maria's Place;canadian (new)
7000;Mirama Dining & Lounge;chinese dim sum
7023;Panago Pizza;pizza chicken wings salad food delivery services
7037;Brewsters Brewing Company & Restaurant;american (traditional) breweries
7066;Taco Bell;fast food mexican
7073;Smitty's Family Restaurant;american (traditional)
7126;Acajutla;mexican latin american
7147;Wildflower Grill;american (new) canadian (new)
7168;Burger Baron;burgers
7204;Sam's Pizza and Donair;pizza
7220;Subway;fast food sandwiches
7336;Sofra Restaurant;turkish
7369;Remedy Cafe;coffee & tea bars nightlife cafes lounges indian desserts
7374;Doan's Restaurant;vietnamese
7393;Bountiful Farmers Market;specialty food fruits & veggies farmers market pop-up restaurants
7401;Crepe Works;fast food french creperies
7419;Garden Bakery;coffee & tea bakeries breakfast & brunch chinese
7452;Matrix Hotel;hotels & travel hotels international
7459;Old Beverly Cafe In & Out;coffee & tea sandwiches cafes
7464;Big Al's House Of Blues;bars nightlife jazz & blues music venues canadian (new)
7469;Cocoa's Restaurant & Lounge;nightlife buffets
7471;Papa Murphy's Take 'N' Bake Pizza;pizza salad do-it-yourself food
7495;Barbecue King City;specialty food chinese barbeque meat shops
7501;Oranj Sushi Bar;sushi bars
7539;Dagu Rice Noodle;chinese noodles
7559;Thien An Restaurant;vietnamese
7586;Tokyo Express;fast food sushi bars japanese
7604;Irie Foods;caribbean
7613;Mac T Donair & Shawarma;burgers middle eastern
7616;Don Day;korean specialty food ethnic food imported food
7630;Tony Roma's;american (traditional) steakhouses seafood barbeque
7682;Pho King;vietnamese
7720;Seorak Teppan & Bar;bars nightlife breakfast & brunch japanese korean asian fusion cocktail bars tapas/small plates tapas bars
7723;Italian Centre Shop;bakeries italian specialty food patisserie/cake shop delicatessen
7730;The Underground Tap & Grill;pubs bars american (traditional) nightlife tapas bars
7771;Olly Fresco's;breakfast & brunch do-it-yourself food
7777;Boston Pizza;italian pizza chicken wings
7826;Tokyo Express;japanese
7872;Famoso Neapolitan Pizzeria;italian pizza
7876;London Local;irish canadian (new) british
7906;Thanh Son Restaurant;vietnamese
7910;Delux Burger Bar Magrath;burgers hot dogs canadian (new)
7922;Xwrecks Restaurant & Lounge;bars american (traditional) nightlife lounges
7932;Grandma Pizza;pizza chicken wings salad
7936;Pho Hoan Pasteur;vietnamese
7970;Villa Bistro;italian breakfast & brunch pizza modern european
8010;Jay Bee's Diner;diners breakfast & brunch american (new) canadian (new)
