id;nom;genre
5811;Chrysalis;italian bars nightlife cocktail bars tapas/small plates
5838;Franklin Juice Co;juice bars & smoothies vegan acai bowls organic stores vegetarian
6026;Burger Up - Franklin;burgers salad desserts
6051;Italian Style! Italian Restaurant;italian
6138;Koi Sushi & Thai;sushi bars asian fusion
6272;Little Caesars;pizza american (new)
6299;Lennys Subs;sandwiches american (new)
6317;P.F. Chang's;asian fusion chinese gluten-free
6377;McDonald's;coffee & tea burgers fast food
6610;Whitts Barbecue;caterers barbeque
6708;Granite City Food & Brewery;american (traditional) breakfast & brunch brewpubs breweries american (new)
6793;Battle Ground Brewery;american (traditional) breweries
6797;Daily Dish Events & Catering;burgers sandwiches bars american (traditional) nightlife salad caterers american (new) southern soul food tapas bars
7020;High Brow Coffee + Tea;coffee & tea bakeries ice cream & frozen yogurt american (traditional) breakfast & brunch cafes desserts
7070;Pei Wei Asian Diner;asian fusion
7182;Famous Wok;chinese
7255;Shoney's Restaurant;american (traditional)
7295;Kings Gyro;sandwiches greek mediterranean
7534;Newk's Eatery;sandwiches american (traditional) pizza salad american (new)
8002;Porta Via Italian Kitchen Cool springs;italian bars nightlife wine bars pizza
8098;Hardee's;burgers fast food breakfast & brunch
8246;Stoney River Steakhouse and Grill;steakhouses seafood
8296;Garcias Mexican Restaurant;steakhouses mexican
8307;North Italia;italian bars nightlife cocktail bars pizza
8457;Umi Japanese Restaurant;sushi bars japanese asian fusion
8592;The Egg & I;american (traditional) breakfast & brunch cafes
8616;El Meson;mexican
8672;The Cheesecake Factory - Cool Springs;american (traditional) salad american (new) desserts
8678;Red Pony;bars american (traditional) nightlife greek steakhouses seafood cocktail bars american (new) southern
8935;Scout's Pub;burgers pubs bars nightlife breakfast & brunch pizza salad american (new)
8936;Jet's Pizza;pizza
9080;Las Palmas;soup mexican vegetarian
9131;Grabbagreen - Franklin;fast food salad juice bars & smoothies gluten-free vegetarian
9153;BB's Bar-B-Q;barbeque
9161;Henpeck Village Market;burgers american (traditional) breakfast & brunch american (new) southern buffets
9495;Puckett's Grocery & Restaurant;american (traditional) nightlife breakfast & brunch barbeque southern music venues comfort food
9692;Chick-fil-A;fast food sandwiches breakfast & brunch salad caterers chicken shop
9749;Yogurt World Cafe;ice cream & frozen yogurt cafes
9757;Franklin Burger;burgers
9863;Ching Asian Bistro;sushi bars asian fusion chinese
9879;Cool Springs Brewery;american (traditional) pizza brewpubs breweries gastropubs fish & chips
9900;Barbara's Home Cookin;american (traditional) seafood southern
9913;Noodles & Company;italian diners asian fusion salad specialty food pasta shops american (new) mediterranean comfort food noodles
10413;Chuck E. Cheese;pizza party & event planning indoor playcentre kids activities
10675;Los Primos;bakeries specialty food mexican meat shops
10682;Famous Dave's;barbeque
