id;nom;genre
5730;Denny's;american (traditional) diners breakfast & brunch
5735;Hibachi Express;steakhouses asian fusion
5753;Twin Peaks;bars american (traditional) nightlife american (new) sports bars
5754;Village Tap Room;bars nightlife cocktail bars gastropubs beer bar
5800;The Mad Griddle ;nightlife pizza jazz & blues southern
5802;Tomo Japanese Steakhouse and Sushi Bar;sushi bars japanese steakhouses
5812;The Libertine Liquor Bar;bars nightlife american (new) lounges
5843;Domino's Pizza;sandwiches pizza chicken wings
5872;Sidekicks Pizza;sandwiches pizza salad
5880;Taste of the Caribbean;food trucks caribbean
5896;BODHI : Craft Bar + Thai Bistro;bars nightlife cocktail bars gastropubs thai
5947;Granite City Food & Brewery;american (traditional) breakfast & brunch breweries american (new) barbeque desserts
5968;Pasquales;italian pizza
5982;Cafe Olivia;sandwiches italian breakfast & brunch food stands
5988;India Palace;american (new) pakistani indian
6018;King Ribs Bar-B-Q;barbeque
6024;Another Broken Egg Cafe;bars american (traditional) nightlife breakfast & brunch cafes cocktail bars
6061;Bar-B-Q Heaven;barbeque
6062;Thai King;soup thai noodles
6099;Monon Coffee Company;coffee & tea
6106;El Taco Torro;mexican
6126;Los Rancheros;specialty food mexican beer wine & spirits ethnic food imported food
6142;Tortas El Guero;sandwiches mexican
6149;CraftyCrab;seafood
6157;Eh! Formaggio;pizza
6158;Jimmy B's Eatery & Pub;pubs bars american (traditional) nightlife
6183;Firehouse Subs;fast food sandwiches american (new)
6205;China One;chinese
6209;Tandoor & Tikka;pizza vegetarian indian
6237;Loco Mexican Restaurant & Cantina;mexican
6260;Ob's Pizza Pub & Eatery;pubs bars american (traditional) nightlife pizza music venues dance clubs
6290;PANA Donuts Coffee & Boba Tea;sandwiches juice bars & smoothies donuts
6301;Auntie Anne's;fast food specialty food desserts pretzels
6314;Huge Impact Restaurant;food trucks american (new) mexican
6334;Rally's;burgers fast food
6354;Wolfgang Puck Express;breakfast & brunch salad american (new)
6365;Hardee's;burgers fast food
6369;Tinker Coffee;coffee & tea breakfast & brunch coffee roasteries
6370;Burger Theory;burgers
6372;Primanti Bros - Indianapolis;sandwiches bars american (traditional) nightlife pizza salad american (new) sports bars
6382;Cup of Corn;food stands
6390;Blueberry Hill Pancake House;american (traditional) breakfast & brunch salad specialty food
6407;Jack's Pizza;pizza food delivery services
6419;Sushi Bar;sushi bars
6420;Bella Pizzeria;pizza
6425;Burger Study;burgers bars nightlife salad beer bar
6433;Arby's;fast food sandwiches
6454;Bamboo House;chinese thai
6456;Bitter Sweet;sandwiches breakfast & brunch salad mediterranean
6457;RJS Tacos & Burritos;mexican desserts tacos
6463;Thai Fusion;thai
