id;nom;genre
5911;Piccadilly;american (traditional) breakfast & brunch seafood
6221;Andrea's Restaurant;italian seafood caterers party & event planning
6265;Burger King;burgers fast food hot dogs
6399;Pizza Hut;fast food italian pizza chicken wings food delivery services
6409;JB's Bar & Grill;bars american (traditional) nightlife dive bars
6474;Red Lobster;american (traditional) seafood
6480;Ruby Slipper Cafe;breakfast & brunch
6528;McAlister's Deli;sandwiches salad
6578;Pacos Tacos Metairie;mexican tacos
6816;Izzo's Illegal Burrito;mexican tacos
6884;Mano's Po-Boys;sandwiches breakfast & brunch cafes seafood american (new) southern
7033;Wingstop;chicken wings
7090;Mawi Tortillerias;bakeries specialty food mexican
7098;Joe Gambino's Bakery;bakeries
7141;Le's Vietnamese & Seafood;sandwiches vietnamese seafood soup chinese
7480;IHOP;burgers american (traditional) breakfast & brunch american (new)
7515;Gin Korean BBQ;korean barbeque
7533;Hobnobber Cafe;cajun/creole southern
7772;Cafe Du Monde;coffee & tea donuts
7909;la Madeleine;bakeries sandwiches breakfast & brunch cafes specialty food caterers fruits & veggies french
7914;Cafe Du Monde;coffee & tea donuts
8017;Star Wok;chinese cantonese
8025;Roly Poly;sandwiches
8163;Empty Nest Cafe and Bar;sandwiches american (traditional) breakfast & brunch cafes seafood comfort food
8168;The Stuffed Crab;burgers american (traditional) seafood
8276;Casa Garcia Mexican Restaurant;seafood mexican tex-mex
8313;Porter & Luke's;seafood
8621;Lamp Lighter;bars nightlife american (new) local flavor dive bars
8864;Morning Call Coffee Stand;coffee & tea
8891;Albasha Greek & Lebanese Cafe;greek mediterranean middle eastern lebanese
8908;CC's Coffee House;coffee & tea
8914;Carrabba's Italian Grill;italian bars american (traditional) nightlife wine bars seafood
8954;JH Cafe;chinese
9003;Sushipop;sushi bars japanese asian fusion
9023;Fat City Diner;diners
9225;Cafe Noir;american (new)
9338;Cowboy Burger;burgers
9341;Subway;fast food sandwiches specialty food fruits & veggies
9424;City Greens;sandwiches salad vegetarian
9505;Wendy's;burgers fast food
9756;Flemings Prime Steakhouse & Wine Bar;bars nightlife wine bars steakhouses seafood american (new)
9796;Nephew's Ristorante;italian
10125;Kabob House NOLA;mediterranean halal middle eastern
10139;Dorignac's Food Center;specialty food caterers beer wine & spirits donuts meat shops
10167;Puccino's Coffee House;coffee & tea breakfast & brunch desserts
10572;Ali-Babas Greek & Lebanese Cuisine;greek middle eastern lebanese arabic
10779;Los Jefes Tortilleria & Grill;seafood mexican tex-mex tacos
10795;Dickey's Barbecue Pit;american (traditional) chicken wings barbeque southern
10868;The Mason Jar;sandwiches american (traditional) american (new)
10907;Unagi & Sushi;sushi bars japanese
11408;Whole Foods Market;coffee & tea fast food specialty food beer wine & spirits
11464;Poke Loa;hawaiian poke
11684;Spitale's Deli & Catering;american (new) local flavor
11700;Taj Mahal Indian Cuisine;pakistani indian
11708;Casablanca Restaurant;moroccan mediterranean middle eastern kosher
11711;Domino's Pizza;sandwiches pizza chicken wings
11786;Subway;fast food sandwiches
11819;Three B's Burger & Wine Bar;burgers bars american (traditional) nightlife wine bars american (new)
11867;Smashburger;burgers fast food
11894;Tastee Donuts;coffee & tea bakeries donuts desserts
12006;Wishing Town Bakery Cafe;bubble tea coffee & tea bakeries breakfast & brunch cafes patisserie/cake shop cafeteria
12029;Drago's Seafood Restaurant;seafood salad desserts
12061;Laser Tag & Games;american (traditional)
12453;The Swamp Room;bars american (traditional) nightlife chicken wings american (new) sports bars dive bars
12534;McDonald's;coffee & tea burgers fast food
12567;YuYan Kitchen;chinese
12925;Chinese Restaurant;chinese food delivery services
12996;Domino's Pizza;sandwiches pizza chicken wings
13036;Cravin' Donuts & Cafe;cafes donuts
13111;Little Tokyo;sushi bars japanese
13129;Joe's Cafe;breakfast & brunch cafes donuts
13473;Big Pie Pizza & Bar;sandwiches italian pizza salad
13632;Reginelli's Pizzeria;sandwiches italian pizza food delivery services
13753;Chef Ron's Gumbo Stop;specialty food cajun/creole ethnic food comfort food
13906;Churros Cafe;coffee & tea sandwiches cuban
13945;Parran's PO-Boys;italian american (traditional) pizza salad cajun/creole
14135;Raising Cane's Chicken Fingers;chicken wings
14198;Randazzo's Family Restaurant;italian breakfast & brunch seafood caterers
14571;Popeyes Louisiana Kitchen;fast food chicken wings
14588;McDonald's;coffee & tea burgers fast food
14693;Domino's Pizza;sandwiches pizza chicken wings
14734;Falafel King Metairie;greek halal middle eastern lebanese
15170;Panera Bread;bakeries sandwiches breakfast & brunch salad soup bagels
15171;Pie Pizza & Pastas;pizza
15252;Saltgrass Steak House;american (traditional) steakhouses seafood chicken shop
15293;Caffe! Caffe! - North Hullen;coffee & tea sandwiches breakfast & brunch cafes salad desserts
15590;Lakeside Shopping Center;food court shopping centers
15629;Bevi Seafood;seafood specialty food seafood markets
15630;Webster's Restaurant;breakfast & brunch
15719;Jimmy John's;fast food sandwiches food delivery services
15925;Big Easy Cafe & Daiquiris;cafes beer wine & spirits
15945;Acropolis;greek salad mediterranean desserts
15993;Gio's Pizza & Spaghetti House;italian pizza salad
16068;Mr Ed's Oyster Bar - Metairie;italian bars nightlife seafood cajun/creole
16071;Subway;fast food sandwiches specialty food fruits & veggies
16444;Papa John's Pizza;pizza
16564;The Original Italian Pie;italian
16819;Burger King;burgers fast food hot dogs
16844;Phoenicia's Restaurant;caterers mediterranean middle eastern
16876;Taco Bell;fast food breakfast & brunch mexican tex-mex tacos
17066;Panda Express;fast food chinese
17141;McDonald's;coffee & tea burgers fast food
17178;Sammys PoBoys & Catering;sandwiches seafood cajun/creole
17235;Todd's Frozen Yogurt;coffee & tea ice cream & frozen yogurt cafes desserts
17281;Roundhouse Bar and Grill at Holiday Inn;american (traditional)
17521;Meru Restaurant;burgers breakfast & brunch latin american venezuelan
17533;R & O Restaurant;sandwiches pizza cajun/creole
17618;Curries & More;specialty food ethnic food indian portuguese
17695;Daiwa Sushi Bar & Japanese Cuisine - Metairie;bars nightlife sushi bars japanese
17759;Daisy Dukes - Metairie;bars nightlife breakfast & brunch seafood caterers american (new) cajun/creole
17876;Cafe Equator;thai
17881;Mama Mea's Pizzaria;bars nightlife pizza sports bars
18112;Zocalo;mexican
18199;Burger King;burgers fast food hot dogs
18234;Hooters;bars american (traditional) nightlife chicken wings sports bars
18415;Ms. Juicy Lucy's;burgers
18537;Popeyes Louisiana Kitchen;fast food chicken wings american (new)
18643;Cyrus Restaurant;persian/iranian
18664;Jason's Deli;sandwiches salad
18752;Little Tokyo;sushi bars japanese
18783;Fat City Franks Nola;hot dogs do-it-yourself food
18790;Fausto's Bistro;italian
18807;Zoes Kitchen;sandwiches greek salad mediterranean kebab
18950;Charley's Philly Steaks;fast food sandwiches cheesesteaks
19043;New Orleans Food and Spirits;sandwiches seafood salad
19410;Salsas Por El Lago II;mexican
19463;Naked Pizza;pizza
19526;Young's Fortune Restaurant;chinese
19618;Beraca Restaurant;latin american peruvian
19629;Copeland's of New Orleans;seafood american (new) cajun/creole
19630;Domino's Pizza;sandwiches pizza chicken wings
19716;Chap's Chicken;coffee & tea sandwiches breakfast & brunch cafes salad chicken shop
19780;Smoke House Grill;sandwiches seafood cajun/creole barbeque southern desserts
19839;Riccobono's Peppermill;italian breakfast & brunch seafood american (new)
20283;Daiquiri Run on 61;bars american (traditional) nightlife cocktail bars chicken wings sports bars beer bar beer wine & spirits
20395;Pokeworks;sushi bars seafood salad hawaiian poke
20424;Great Wall Restaurant;chinese
20459;Joe's Caddy Corner Bar & Grill;burgers bars nightlife cafes sports bars cajun/creole comfort food dive bars pool halls bar crawl
20636;NOLA Boils;sandwiches seafood salad soup caterers
20702;Outback Steakhouse;steakhouses
