id;nom;genre
5728;Sonic Drive-In;burgers fast food ice cream & frozen yogurt
5737;Super Dog;hot dogs
5738;The Green Pheasant;japanese seafood
5747;Caviar & Bananas;coffee & tea bars american (traditional) nightlife diners breakfast & brunch cafes wine bars caterers
5765;Mike's Ice Cream;coffee & tea sandwiches ice cream & frozen yogurt
5784;Cerveza Jack's;bars nightlife mexican
5785;Wendy's;burgers fast food
5788;Gaylord Opryland Resort & Convention Center;american (new) convenience stores hotels & travel hotels cinema resorts
5828;The Pepper Pott;food trucks caribbean
5921;Union Teller Delicatessen;sandwiches caterers bagels
5962;Jackson's Bar & Bistro - Nashville;burgers bars nightlife breakfast & brunch american (new) lounges
5975;Edgehill Cafe;coffee & tea sandwiches american (traditional) breakfast & brunch cafes
5977;Dosa Hut Indian Grill;indian
5991;Brugada;bars nightlife lounges mediterranean hookah bars dance clubs falafel
6005;Edgehill Cafe;coffee & tea breakfast & brunch internet cafes
6016;The Wine Loft;bars nightlife wine bars music venues tapas bars
6035;M.L.Rose Craft Beer & Burgers - Melrose;burgers sandwiches pubs bars american (traditional) nightlife breakfast & brunch sports bars beer bar
6050;Popeyes Louisiana Kitchen;fast food chicken wings
6063;Rumours Wine and Art Bar;bars nightlife wine bars american (new) beer wine & spirits
6066;National Underground;nightlife american (new) music venues
6091;Build-a-Burger;burgers
6110;Belle Restaurant;american (new)
6112;Panaderia La Conchita;bakeries latin american desserts
6152;Panda Express;fast food chinese
6154;Farmer's Market Deli & Grill;american (traditional) farmers market
6172;Burger King;burgers fast food
6173;Bobby Hotel;bars nightlife cocktail bars lounges hotels & travel hotels
6184;Taziki's Mediterranean Cafe - West End;greek mediterranean
6227;Captain D's;fast food american (traditional) seafood fish & chips
6234;El Rey;mexican
6249;Toyama Japanese Steak House;sushi bars japanese korean steakhouses chinese
6270;China Spring;chinese
6297;Subway;fast food sandwiches
6330;RuSan's Sushi and Seafood;burgers sushi bars japanese seafood beer wine & spirits ramen
6341;Taquera La Juquilita;mexican
6353;BoomBozz Craft Pizza & Taphouse;sandwiches bars nightlife breakfast & brunch pizza sports bars
6383;Hattie Jane's Creamery;ice cream & frozen yogurt desserts
6438;Nectar Urban Cantina;coffee & tea bars nightlife juice bars & smoothies mexican acai bowls tacos new mexican cuisine
6458;51st Deli;sandwiches breakfast & brunch mexican tacos
6464;The Night Owl;bars nightlife american (new) music venues
6475;The Urban Juicer;coffee & tea breakfast & brunch salad juice bars & smoothies acai bowls
6483;The Comedy Bar;bars nightlife pizza
6484;Hru Sushi Kitchen;sushi bars
6510;Riffs Cafe at Highland Ridge;cafes
6525;Three Brothers Coffee;coffee & tea sandwiches cafes sporting goods bagels internet cafes
6535;Shep's Delicatessen;sandwiches breakfast & brunch bagels comfort food
6540;Brooklyn Pizza & Cafe;sandwiches italian greek pizza chicken wings food delivery services
6547;The Nations Bar & Grill;bars american (traditional) nightlife diners salad sports bars wraps dive bars
6560;Jack In the Box;burgers fast food
6568;Natura Cafe Nashville;cafes american (new)
6599;Panera Bread;coffee & tea bakeries sandwiches breakfast & brunch salad soup bagels
6606;Tango Grill Nashville;argentine
6618;Osborne Bi-Rite;southern
6634;AMFM;sandwiches american (new) beer wine & spirits
6654;Winners Bar and Grill Nashville;bars american (traditional) nightlife sports bars music venues
6657;Subway;fast food sandwiches pizza
6683;Kien Giang;vietnamese
6711;The Old Spaghetti Factory;italian caterers
6731;Marco Polo's Pizza;burgers pizza
6749;La Spezia Italian Cafe;italian cafes
6750;Watermark Restaurant;bars american (traditional) nightlife american (new) lounges french southern
6758;Pranzo Jersey Italian Cafe;coffee & tea
6759;LJ Thai Sushi;sushi bars thai
6773;Lynne Lorraine's;sandwiches specialty food juice bars & smoothies fruits & veggies vegan
6808;Valentino's Ristorante;italian bars nightlife lounges southern
6866;Nicolettos Italian Kitchen;italian specialty food pasta shops
6885;Blue Coast Burrito Express;mexican
6886;Krystal;burgers fast food
6891;China Spring;chinese
6894;Ellington's;bars american (traditional) nightlife steakhouses cocktail bars american (new) jazz & blues
6935;Izzie's Ice;ice cream & frozen yogurt food stands desserts
6939;Sylvan Park Restaurant;southern
6979;Opry Backstage Grill;american (traditional) southern
6994;Logan's Roadhouse;burgers bars american (traditional) nightlife steakhouses american (new) barbeque
7005;Samurai Sushi;sushi bars japanese
7041;A Matter of Taste;bakeries caterers gluten-free local flavor
7081;Nordstrom Grill;bars nightlife cafes cocktail bars american (new) comfort food
7102;Frothy Monkey;coffee & tea bars nightlife breakfast & brunch wine bars
7109;Fazoli's;fast food italian pizza
7125;Euro Grill;mediterranean
7148;Waffle House;breakfast & brunch
7208;That Awesome Taco Truck;food trucks mexican tacos
7233;Cafe 29;coffee & tea sandwiches breakfast & brunch
7243;Taqueria Mexico Tennessee;food trucks mexican
7309;Bowl & Roll;asian fusion specialty food
7316;Jack in the Box;burgers fast food breakfast & brunch american (new) mexican tacos
7323;China Moon;chinese
7330;Nashville Symphony;nightlife music venues party & event planning musicians
7362;Greko Greek Street Food;bars nightlife greek wine bars caterers mediterranean street vendors
7370;Piranha's Bar & Grill;sandwiches bars american (traditional) nightlife sports bars dive bars
7400;Burger Republic;burgers pubs bars american (traditional) nightlife sports bars armenian
7427;Sam's Pizza House;pizza
7436;Rock'n Dough Pizza & Brewery;bars american (traditional) nightlife pizza brewpubs breweries beer bar
7447;Coffee, Lunch.;coffee & tea bakeries sandwiches bagels
7450;Siam Cafe;seafood chicken wings thai
7458;Champions;bars american (traditional) nightlife american (new) sports bars
7472;Tailgate Brewery - East Nashville;pubs bars nightlife pizza breweries
7532;Hugh-Baby's;burgers fast food sandwiches hot dogs
7549;Kalamatas - Green Hills;greek specialty food caterers moroccan mediterranean
7555;Sonic Drive-In;burgers fast food ice cream & frozen yogurt hot dogs
7585;PennePazze;italian
7587;Taqueria El Jaliciense;mexican
7603;Katie's Meat and Three;american (traditional)
7638;Village Pub & Beer Garden;bars american (traditional) nightlife american (new) beer wine & spirits
7655;Domino's Pizza;sandwiches pizza chicken wings
7680;Abay Ethiopian Restaurant;ethiopian
7710;Hilton Garden Inn Nashville Vanderbilt;american (new) hotels & travel hotels
7719;Two Goats;food trucks caterers american (new) pop-up restaurants
7741;The River House;american (traditional) breakfast & brunch sushi bars seafood desserts
7760;Tennessee Brew Works;pubs bars american (traditional) nightlife breweries american (new) gastropubs beer bar hotels & travel music venues beer tours
7813;Milk and Honey Nashville;coffee & tea american (traditional) breakfast & brunch pizza american (new)
7893;H & T's Homecooking;american (traditional) american (new) southern soul food comfort food
7897;M.L.Rose Craft Beer & Burgers - Sylvan Park;burgers pubs bars nightlife breakfast & brunch chicken wings sports bars beer bar
7927;Frist Art Museum Cafe;coffee & tea sandwiches pizza salad american (new) desserts
7939;312 Pizza Company;sandwiches italian hot dogs pizza caterers
7948;Helens Hot Chicken;chicken shop
7966;Chismes Cafe;mexican
7977;Wendy's;burgers fast food hot dogs
8011;Edley's Bar-B-Que - 12 South;bars nightlife cocktail bars barbeque southern dive bars
8021;Setsun;bars nightlife wine bars pop-up restaurants
8045;Castrillo's Pizza of Donelson;sandwiches pizza chicken wings desserts
8048;Local Taco;breakfast & brunch mexican tex-mex
8107;El Taco Jalisco;mexican
8119;Johnny Cashs Bar & BBQ;bars nightlife barbeque southern soul food comfort food musicians
8131;Shoney's Restaurant;breakfast & brunch
8144;The Cafe DbyD;bakeries breakfast & brunch cafes caribbean desserts
8150;Inchin's Bamboo Garden;bars nightlife asian fusion cocktail bars chinese indian
8155;Provence Bread;food stands
8229;Assembly Food Hall;food court
8260;Ramadan Restaurant;middle eastern somali
8266;Biscuit Love: Hillsboro Village;breakfast & brunch southern
8275;Burger King;burgers fast food
8324;KFC;fast food chicken wings chicken shop
8348;Sam's Sushi Bar;sushi bars japanese
8357;The Red Bicycle;coffee & tea nightlife creperies beer gardens
8388;Americano - Freestyle Tapas Bar;breakfast & brunch american (new) tapas/small plates tapas bars
8394;City Limits Bakery & Cafe;bakeries cafes
8403;Taco Bell Cantina;fast food nightlife mexican music venues tacos
8408;Carniceria Y Taqueria Don Juan;mexican
8420;Jason Aldean's Kitchen + Rooftop Bar;bars american (traditional) nightlife beer bar southern
8424;El Camino's Taco Lounge;bars nightlife mexican
8439;Sun Diner;burgers diners breakfast & brunch cafes
8450;Lucky Belly;burgers bars american (traditional) nightlife sushi bars japanese
8461;Old Hickory Grill - Sheraton Music City;american (new)
8488;La Cocina Dominicana;caribbean latin american dominican
8511;Aladdin's Hookah Lounge and Bar;bars nightlife mediterranean hookah bars middle eastern
8539;Jimmy John's;fast food sandwiches
8546;Sphinx Restaurant;greek
8549;Los Nietos;mexican
8552;La Esquina Pupuseria Salvadorea;latin american brazilian
8554;The Pancake Pantry;bakeries sandwiches breakfast & brunch
8581;Pizza Hut;italian pizza chicken wings
8594;Blu Fig;juice bars & smoothies mediterranean middle eastern
8623;Moto Cucina + Enoteca;italian
8708;Pokeworks;sushi bars salad poke
