id;nom;genre
5763;Copper Vine;pubs bars nightlife wine bars gastropubs
5770;Mahony's Po-Boys & Seafood;seafood cajun/creole
5778;Altamura;italian bars nightlife seafood cocktail bars
5807;Eat Mah Taco  Pal's Lounge;bars nightlife american (new) lounges
5814;Mellow Mushroom;sandwiches bars nightlife pizza
5824;Las Margaritas;mexican
5825;Olivier's Creole Restaurant;seafood specialty food cajun/creole southern soul food party & event planning ethnic food
5844;Saltwater Grill;seafood specialty food seafood markets
5851;Blaze Pizza;fast food pizza salad gluten-free
5895;Garage Pizza;sandwiches pizza american (new)
5985;Rosa Mezcal;mexican
5998;Crescent City Steak House;steakhouses
6015;Felix's Restaurant & Oyster Bar;seafood cajun/creole southern
6027;Taco Del Mar;fast food mexican tex-mex
6028;Stokehold Restaurant;burgers american (traditional) brewpubs breweries american (new) gastropubs fish & chips
6043;Mr. B's Bistro;bars nightlife breakfast & brunch cafes cocktail bars cajun/creole barbeque
6064;Pho Orchid Uptown;bars nightlife vietnamese french
6067;Nacho Mama's Mexican Grill;mexican
6078;Reginelli's Pizzeria - Closed;sandwiches italian pizza
6115;The Howlin' Wolf;pubs bars american (traditional) nightlife music venues
6131;Port St Peter;burgers bars american (traditional) nightlife breakfast & brunch cocktail bars
6140;Curry Corner;thai pakistani indian
6141;Treme Coffeehouse;coffee & tea cafes bagels
6188;Smashburger;burgers
6247;HAPPYJAXX;breakfast & brunch salad
6305;La Casita;mexican gluten-free latin american
6403;District Donuts Sliders Brew;coffee & tea burgers american (traditional) donuts
6431;Mojitos Rum Bar & Grill;cajun/creole caribbean cuban
6445;Suis Generis;american (new)
6455;Grand Isle;seafood live/raw food southern local flavor desserts
6467;Rally's;burgers fast food
6473;Pizza Hut;italian pizza chicken wings
6503;Casa Honduras;seafood cajun/creole mexican latin american
6529;SWEGS Kitchen - Mid-City;burgers sandwiches breakfast & brunch cafes pizza american (new) gluten-free comfort food
6532;Taco Del Mar;mexican
6533;The Wacked Out Weiner New Orleans;hot dogs
6545;Royal Sonesta New Orleans;hotels & travel hotels bed & breakfast
6600;Katie's Restaurant & Bar;bars american (traditional) nightlife seafood cajun/creole
6621;Ralph's on the Park;american (new) cajun/creole
6622;Food Drunk Food Truck;food trucks caterers barbeque
6636;HORN'S EATERY;bars nightlife breakfast & brunch seafood cocktail bars caterers american (new) gastropubs
6640;Petite Clouet Cafe;coffee & tea sandwiches cafes salad
6690;Redemption;breakfast & brunch seafood cajun/creole french party & event planning
6766;Leonardo Trattoria;italian bars nightlife pizza
6779;Tiki Tolteca;bars nightlife cocktail bars mexican tiki bars
6817;Honeydeux;bubble tea coffee & tea cafes salad juice bars & smoothies
6822;Pra_LEES;seafood soul food
6832;LA Smokehouse;sandwiches salad soup barbeque
6838;Chubbie's Fried Chicken;fast food sandwiches seafood chicken wings
6839;The Munch Factory;sandwiches american (traditional) seafood salad soup cajun/creole
6840;HK NOLA;bakeries cafes caterers american (new) juice bars & smoothies organic stores desserts kosher
6844;Slim Goodies Diner;american (traditional) diners breakfast & brunch cajun/creole
6854;Zea Rotisserie and Grill;american (traditional) salad american (new)
6869;The Ritz-Carlton Spa, New Orleans;hotels & travel hotels
6875;Zimmer's Seafood;sandwiches seafood specialty food seafood markets
6889;The Bricks Courtyard Bar and Grill;bars american (traditional) nightlife
6913;Tomasito's;cajun/creole mexican
6923;New Orleans Social House;bars nightlife tapas/small plates
6933;Chemin a la Mer;bars nightlife breakfast & brunch french
6938;Sweet Soulfood;vegan soul food
6944;Please-U-Restaurant;diners breakfast & brunch cajun/creole
6966;Pravda!;bars nightlife lounges
7050;Daisy Mae's Southern Fried Chicken & Breakfast;breakfast & brunch comfort food
7108;Mambo's;bars nightlife seafood cocktail bars cajun/creole soul food desserts
7118;Chido;new mexican cuisine
7132;Desire Oyster Bar;seafood cajun/creole live/raw food hotels & travel hotels southern
7150;Fleur-De-Lis Nutrition;coffee & tea specialty food juice bars & smoothies gluten-free vitamins & supplements
7192;Mother Mary's;bars american (traditional) nightlife irish irish pub
7209;Burritos Grill Mexican Fresh Cuisine;mexican new mexican cuisine
7218;Pho Cam Ly;vietnamese
7221;Raising Canes;fast food chicken wings cajun/creole chicken shop
7231;Stanley Service Bar;coffee & tea sandwiches bars nightlife cocktail bars
7234;Maple Street Patisserie;bakeries sandwiches
7260;Pushing Pastry Cafe;breakfast & brunch cafes comfort food patisserie/cake shop waffles
7273;Three Muses;nightlife american (new) gastropubs jazz & blues music venues
7279;Olive;breakfast & brunch mediterranean halal middle eastern kebab lebanese
7284;Squeal;barbeque
7285;Lucky Dogs;hot dogs
7289;Rivista;bakeries cafes
7290;Cafe at The Square;american (traditional)
7305;Luke;bars nightlife breakfast & brunch seafood cocktail bars american (new) cajun/creole french german brasseries
