id;nom;genre
5736;Romano's Macaroni Grill;italian
5767;Silver and Blue Outfitters;fast food sandwiches sporting goods
5864;emPIEnada;american (traditional) food trucks caterers comfort food empanadas desserts
5938;Brew Brothers;bars american (traditional) nightlife breweries music venues
6022;Brew House Pub & Grill;sandwiches pubs bars american (traditional) nightlife
6137;Meal Prep Reno;specialty food caterers food delivery services do-it-yourself food
6163;Reno Tap Room;pubs bars nightlife american (new)
6192;BFF Cafe;burgers greek diners breakfast & brunch cafes specialty food american (new) gluten-free vegetarian
6229;5th St. Bakehouse;bakeries breakfast & brunch american (new)
6274;El Pollo Loco;fast food chicken wings mexican
6281;Pizza Hut;fast food italian pizza chicken wings
6286;Sushi Rose;sushi bars
6321;Zagol Ethiopian Restaurant;ethiopian
6327;Cortina Ristorante & Bar;italian
6358;El Carrito;mexican street vendors food stands
6379;Subway;fast food sandwiches
6404;Smees Alaskan Fish Bar & Marketplace;seafood specialty food seafood markets fish & chips
6446;Cake & Flower Shoppe;bakeries
6481;Panda Express;fast food chinese
6490;Steak & Pasta House;italian steakhouses
6513;Quiznos;fast food sandwiches salad soup
6521;The Casino Grill;american (traditional)
6575;The Growler Guys;pubs bars nightlife pizza chicken wings breweries beer gardens
6579;Raley's;beer wine & spirits
6615;Coffeebar;coffee & tea sandwiches bars nightlife breakfast & brunch cafes wine bars
6616;Ruggieri's Pizza and More;italian
6617;Roundabout Market And Bistro;italian steakhouses pizza american (new)
6716;Sushi Minato;sushi bars japanese
6782;McDonald's;coffee & tea burgers fast food american (traditional)
6791;Aloha Japanese Steakhouse;japanese
6801;The Melting Pot;fondue
6814;Kei Sushi;sushi bars japanese asian fusion desserts
6871;DC Cafe;american (traditional) breakfast & brunch steakhouses
6880;El Pollo Loco;fast food mexican
6901;Roundabout Grill;coffee & tea breakfast & brunch american (new)
6977;Terrace Lounge;bars nightlife american (new) lounges music venues
7035;Josef's Vienna Bakery & Cafe;coffee & tea bakeries sandwiches breakfast & brunch cafes desserts
7096;The Depot Craft Brewery Distillery;breweries gastropubs brasseries distilleries
7239;Asian Pho;vietnamese
7263;Johnny Rockets;burgers fast food sandwiches american (traditional) diners
7292;Chavelita's Cocina Mexicana;specialty food mexican tacos
7317;Chick-fil-A;fast food sandwiches breakfast & brunch caterers chicken shop
7333;Wendy's;burgers fast food hot dogs
7444;WANG'S TABLE;seafood chinese noodles
7476;Dickey's BBQ Pit South;barbeque
7479;Cheeseburger Island Style;burgers american (traditional) hawaiian
7599;El Tumi Peruvian Restaurant;seafood latin american peruvian
7679;Bab Cafe - Reno;korean cafes chicken wings vegan gluten-free comfort food vegetarian
7685;Kauboi Izakaya;pubs bars nightlife sushi bars japanese gastropubs czech
7733;Un Caffe Italian Bistro;coffee & tea sandwiches italian breakfast & brunch pizza
7753;Food + Drink;italian bars nightlife breakfast & brunch cocktail bars pizza mexican desserts tacos waffles
7770;Jalapeo's 2;mexican
7798;Peg's Glorified Ham & Eggs;burgers breakfast & brunch
7810;The Buffet;breakfast & brunch american (new) buffets
7871;Chili's;bars american (traditional) nightlife tex-mex
7990;Moxie's Spirits & Dining;american (traditional)
8000;Eclipse Pizza Co.;pizza beer wine & spirits vegan gluten-free
8015;Aldertos Fresh Mexican Food;mexican
8032;Zeppelin;bars american (traditional) nightlife breakfast & brunch cocktail bars lounges mexican vegan tacos
8083;The Mug Shot Coffee & Eatery;coffee & tea breakfast & brunch cafes
8112;Georgio's Pizza;pizza
8120;Little Caesars;pizza
8125;Chinese Duck House;chinese dim sum cantonese
8145;Minato Noodles;japanese korean asian fusion soup ramen noodles
