id;nom;genre
5768;Ricardo's Italian Cafe;italian american (traditional) cafes american (new)
5773;Sunset 44 Bistro;bars nightlife wine bars american (new) lounges
5794;McDonald's;coffee & tea burgers fast food
5841;Go! Gyro! Go!;greek food trucks mediterranean street vendors food stands
5847;Carmine's Steakhouse;italian steakhouses
5861;Papa John's Pizza;pizza
5881;Taco Truck Stl;food trucks mexican
5894;Merendero La Catrachitas;latin american honduran
5903;McDonald's;coffee & tea burgers fast food
5917;Momo's Ouzaria Taverna;bars nightlife greek lounges mediterranean
5941;Soco's Gyros;greek mediterranean kebab turkish
6007;Carnivore;sandwiches breakfast & brunch steakhouses
6057;Caleco's Bar & Grill;italian bars american (traditional) nightlife american (new) sports bars
6074;K-Bop STL;food trucks korean
6097;Grace Meat + Three;sandwiches soup barbeque southern soul food comfort food
6109;Brio Italian Grille;italian bars nightlife cocktail bars pizza
6116;An American Place;american (new)
6165;La Patisserie Chouquette;bakeries cafes
6242;Quesa-D-Ya's;mexican tex-mex
6254;MRCKA's Dojo Pizza;italian pizza
6287;Mi Caribe;caribbean latin american puerto rican cuban dominican
6288;Kampai Sushi Bar;sushi bars japanese
6312;Mandalay Asian Cuisine;chinese
6316;Guo Bin Chinese Restaurant;chinese
6324;Cafe Brasil;cafes
6347;St Louis Fish and Chicken;greek seafood chicken wings
6405;QuikTrip;fast food gas stations convenience stores
6414;Wei Hong Bakery & Restaurant;bakeries chinese
6482;Murphy's Bar & Grill;bars american (traditional) nightlife
6492;Tarahumara;mexican latin american
6501;Alexander's Restaurant & Lounge;american (traditional)
6553;Trattoria Marcella;italian local flavor
6557;Imo's Pizza;pizza food delivery services
6558;The Good Pie;pizza
6643;Tommy's Good Eats;sandwiches
6673;Cini;fast food italian modern european
6679;Garavelli's;american (traditional)
6680;Domino's Pizza;sandwiches pizza chicken wings
6694;Pomme Cafe & Wine Bar;coffee & tea bars nightlife breakfast & brunch wine bars american (new) french
6709;Urban Eats;coffee & tea bakeries sandwiches pizza american (new) southern vegan vegetarian home services
6746;Sauce on the Side;italian bars nightlife salad beer bar
6764;Herbie's Vintage 72;bars nightlife wine bars american (new) french gluten-free
6781;Arber Cafe;coffee & tea italian cafes specialty food mediterranean ethnic food desserts
6815;Prime 55 Restaurant & Lounge;seafood american (new) vegan
6826;Panda Express;fast food chinese
6847;Bubba's Deli;sandwiches salad
6882;KFC;fast food chicken wings chicken shop
6932;Living Room- Southampton;coffee & tea bakeries sandwiches
6949;Ninth Street Deli at Howards;sandwiches bars american (traditional) nightlife breakfast & brunch american (new)
6988;Gringo Tacos + Burgers;burgers bars nightlife mexican tacos
7002;Sen Thai Asian Bistro;bars nightlife japanese asian fusion cocktail bars thai
7028;Crown Candy Kitchen;american (traditional) diners specialty food
7071;Landry's Seafood House;american (traditional) steakhouses seafood
7085;Rue 13;bars nightlife sushi bars lounges dance clubs
7103;Speedway Eatery;food trucks cafes food delivery services
7124;Land of Smile;thai
7154;L'Acadiane;bars nightlife
7161;Elicia's Pizza;pizza
7180;Pi Pizzeria - Delmar Loop;bars nightlife pizza
7217;Tin Can Tavern and Grille;burgers bars american (traditional) nightlife dive bars
7230;Spice-n-Grill;pakistani indian
7266;Flavor of India;indian
7277;Cajun Gourmet;asian fusion
7282;Yummies Restaurant;barbeque soul food food delivery services
7287;Taste-D-Burger;street vendors food stands
7379;Yolklore;coffee & tea bakeries burgers breakfast & brunch caterers
7399;La Monarca;mexican
7425;Hong Kong Express;chinese
7442;Reavis Pizza;sandwiches pizza food delivery services
7470;The Archive Music House & Southern Grill;bars american (traditional) nightlife music venues
7474;National Pizza Company;pizza
7477;Schnucks - Loughborough;bakeries
7482;Circle 7 Ranch;burgers american (new) wraps tapas/small plates
7498;McDonald's;coffee & tea burgers fast food
