id;nom;genre
5790;Kinjo's Japanese Restaurant;sushi bars japanese
5837;Williams Sub Shop;sandwiches
5954;Casita Taqueria;mexican
5966;China City Restaurant;chinese
6060;Tsunami Japanese Steakhouse;sushi bars japanese steakhouses
6162;Fray's Donut House;coffee & tea breakfast & brunch donuts
6239;Ichicoro Ane;bars nightlife japanese cocktail bars tapas/small plates ramen
6280;Kobe Japanese Steakhouse;sushi bars japanese steakhouses teppanyaki
6506;Casita Taqueria;mexican
6554;Dooners;fast food greek mediterranean turkish german
6564;The Burg Diner;diners
6582;Preachers BBQ;barbeque
6628;Ray's Vegan Soul;caterers vegan soul food
6700;China Star;chinese
6784;4th Street Pizza;italian pizza food delivery services cheesesteaks
6915;Ryan's Meat Market & Deli;specialty food meat shops
6951;Annex;breakfast & brunch cafes convenience stores themed cafes
7122;Darrell and Sharon's Park Street Diner;american (traditional) breakfast & brunch
7149;Instead of Flowers;gluten-free vegetarian
7212;Driftwood Cafe;sandwiches cafes pizza
7340;StarLite Sapphire;american (new)
7490;First Watch;american (traditional) breakfast & brunch cafes
7507;Beantown Pub South;burgers bars nightlife sports bars beer wine & spirits
7529;Pepo's Cuban Cafe;cuban
7561;Brick & Mortar;bars nightlife wine bars american (new)
7562;Mr. & Mrs. Crab;bars nightlife seafood cocktail bars cajun/creole
7726;Grain and Berry;juice bars & smoothies vegan acai bowls
7749;Room 901;pubs bars american (traditional) nightlife wine bars beer bar whiskey bars
7834;Ratchada Thai Restaurant and Sushi Bar;sushi bars thai
7888;Sushi Sho Rexley;sushi bars
7928;Sushi Zen;sushi bars korean
8007;The Duke Of Ribs;food trucks seafood caterers barbeque
8051;Dick's BBQ;caterers barbeque soul food
8072;Three Generations Food Truck;food trucks breakfast & brunch cajun/creole soul food
8123;Quickie's Scratch BBQ;burgers sandwiches barbeque
8135;Hungry Howie's Pizza & Subs;sandwiches italian pizza chicken wings
8161;Estela's Mexican Restaurant;specialty food mexican ethnic food
8184;Hooters;burgers bars american (traditional) nightlife chicken wings american (new) sports bars
8240;Pacific Counter;sushi bars asian fusion hawaiian poke
8283;Naan Boti & Chai Shai;vegan pakistani indian food delivery services
8346;Stacie's Cottage Cafe;coffee & tea sandwiches breakfast & brunch cafes
8367;Trophy Fish;bars nightlife seafood
8448;Mazzaro's Italian Market;italian specialty food coffee roasteries meat shops
8568;Cody's Original Roadhouse;pubs bars american (traditional) nightlife steakhouses
8687;Fitlife Foods - St. Petersburg;specialty food
8698;E and L Pizza;american (traditional) pizza
8702;Crab House;seafood
8812;Sunset Grille;burgers american (traditional)
8813;Texas Roadhouse;american (traditional) steakhouses salad barbeque desserts
8828;Bandit Coffee Co.;coffee & tea bakeries breakfast & brunch cafes
8884;Berlins Doener;kebab german
9043;Cask And Ale;bars nightlife lounges tapas/small plates
9155;Brew D Licious;coffee & tea cafes local flavor
9162;Simply Delicious - Country Market & Deli;sandwiches spanish cuban
9248;Glory Days Grill;bars american (traditional) nightlife chicken wings sports bars
9360;Manna From Heaven;soul food
9365;Yeoman's Cask and Lion;burgers pubs bars nightlife breakfast & brunch cocktail bars british
9376;Freshii;fast food ice cream & frozen yogurt breakfast & brunch cafes salad wraps juice bars & smoothies gluten-free vegetarian
9401;1200 Chophouse;steakhouses american (new)
9457;Diner 24 DTSP;diners breakfast & brunch
9496;Dickey's Barbecue Pit;american (traditional) chicken wings barbeque southern
9556;El Gallo Grande;bars nightlife specialty food sports bars mexican beer wine & spirits ethnic food
9557;LongHorn Steakhouse;american (traditional) steakhouses barbeque
9595;Pineapplez;coffee & tea sandwiches vietnamese breakfast & brunch cafes salad american (new) wraps juice bars & smoothies
9607;Pizza Hut;italian pizza chicken wings
9633;Gateway To India;specialty food ethnic food indian buffets imported food
9639;Anju St. Pete;korean asian fusion hot dogs tapas/small plates
9707;Jungle Prada Tavern;pubs bars nightlife pizza salad
9744;The Spot Bar And Grill;burgers sandwiches bars nightlife breakfast & brunch beer wine & spirits internet cafes
9798;Rollin' Oats Market;sandwiches specialty food organic stores farmers market
9861;Limon Loco Fresh Mexican Grill;fast food pizza specialty food mexican tex-mex food delivery services new mexican cuisine
9876;New York Bagel Shops;bagels
9886;Nature's Table;sandwiches cafes juice bars & smoothies
9922;Boardwalk Pasta & Seafood;bars american (traditional) nightlife seafood american (new) beer wine & spirits
9924;Black Palm Restaurant;latin american tapas bars
9970;Tropical Smoothie Cafe;sandwiches american (new) juice bars & smoothies
9983;Captain Al's;american (traditional) seafood beer wine & spirits
10063;K C's Korner Restaurant;american (traditional) breakfast & brunch
10088;Big Tim's BBQ;barbeque
10095;Westshore Pizza;pizza chicken wings salad cheesesteaks
10143;Skyway Cafe;breakfast & brunch
10153;Karma Juice Bar & Eatery - Saint Petersburg;breakfast & brunch juice bars & smoothies gluten-free acai bowls vegetarian
10263;Doc Fords Rum Bar & Grille;bars american (traditional) nightlife seafood caribbean
10268;Yard of Ale St Pete;pubs bars nightlife american (new) sports bars beer bar
10334;Sundial St. Pete;shopping centers
10335;Cafe Vienna;breakfast & brunch german austrian
10462;Hoots;american (traditional)
10511;Wawa;coffee & tea sandwiches gas stations convenience stores
10530;Great Wall;seafood soup chinese
10561;The Queen and I;thai
10758;Pollo Tropical;fast food chicken shop latin american
10830;The Blend;coffee & tea bars nightlife wine bars kombucha
10849;St. Pete Bagel Co.;coffee & tea sandwiches bagels donuts
10919;McDonald's;coffee & tea burgers fast food
10990;Burrito Boarder;specialty food mexican
11006;OGGI - St Petersburg;italian
11214;Chipotle Mexican Grill;fast food mexican
11217;Hiro's Tokyo Steakhouse & Sushi Bar;bars nightlife sushi bars steakhouses lounges
11366;Salem's Fresh Eats;fast food sandwiches greek diners seafood chicken wings salad specialty food mediterranean ethnic food middle eastern
11389;Britannia Arms;american (traditional) beer wine & spirits fish & chips british
11490;Uptown Eats;american (traditional) cafes american (new) comfort food
11494;Hawkers Asian Street Food;bars nightlife japanese asian fusion cocktail bars salad chinese filipino tapas/small plates ramen malaysian pan asian
11575;Craftsman House Gallery & Cafe;cafes american (new)
11759;Ikigai Sushi Bowls and Wraps;food trucks sushi bars japanese asian fusion poke
11777;Good Fortune Buffet;chinese buffets
11887;Crafty Squirrel;bars nightlife pizza chicken wings sports bars
11910;Greenstock;salad vegan
11927;Pizza Hut;fast food italian pizza chicken wings
11994;Bacchus Wine Bistro;bars nightlife wine bars specialty food french beer wine & spirits
12049;Bodega;coffee & tea cafes juice bars & smoothies latin american spanish cuban
12210;Gatsby's Restaurant;sandwiches bars american (traditional) nightlife pizza lounges
12231;Better Byrd;sandwiches american (traditional) breakfast & brunch chicken wings american (new) wraps mexican chicken shop southern donuts tacos
