id;nom;genre
5762;Helena Avenue Bakery;coffee & tea bakeries sandwiches breakfast & brunch salad
5780;Santa Barbara Shellfish Company;bars nightlife seafood beer bar live/raw food beer wine & spirits
5879;Marty's Pizza;pizza
6168;Cat Therapy;coffee & tea cafes themed cafes
6208;Subway;fast food sandwiches
6222;Bogo SB;burgers pizza caterers food delivery services
6337;California Wine Festival;food stands festivals wineries
6352;The Mill;breweries wineries food court shopping centers wine tasting room
6586;Cafe Buenos Aires;argentine
6588;Taqueria El Pastorcito;mexican
6619;The Silver Bough;american (new)
6685;China Bowl & State Street Cafe;american (traditional) chinese american (new)
6734;Brummis - the German Taste;german
6751;Plaza Deli;sandwiches hot dogs salad
6775;Our Daily Bread;bakeries breakfast & brunch cafes
7053;Presto Pasta;italian
7082;Meun Fan Thai Cafe;salad soup thai
7261;India House;indian home & garden
7320;Wahoo's Fish Tacos;seafood mexican
7372;Terraza Cafe;american (traditional) american (new) mexican
7386;Islands Restaurant;burgers bars nightlife american (new) sports bars
7418;Our Lady of Guadalupe Mercado;mexican festivals
7426;Barbarians;bars nightlife pizza sports bars
7803;The Project -- Corazn Cocina & Taproom;burgers bars nightlife breakfast & brunch cocktail bars breweries beer bar mexican tacos
7840;Jack's Bistro & Bagels;sandwiches breakfast & brunch
7931;Oliver's;american (traditional) vegan
7943;Hob Nob;american (new)
8049;Alitos;mexican new mexican cuisine
8096;Intermezzo By Wine Cask;bars nightlife cafes wine bars cocktail bars pizza salad american (new) tapas bars
8122;Daves Dogs - Cart;hot dogs street vendors food stands
8134;Subway;fast food sandwiches
8178;Bluewater Grill - Santa Barbara;bars american (traditional) nightlife breakfast & brunch seafood cocktail bars american (new)
8202;Paradise Cafe;american (traditional) nightlife cafes seafood american (new)
8273;Chipotle Mexican Grill;fast food mexican
8331;Pizza Mizza;italian pizza food delivery services
8344;The Cruisery;bars nightlife cocktail bars brewpubs breweries gastropubs
8473;Sushi Tyme;sushi bars japanese asian fusion seafood
8504;Cold Spring Tavern;bars american (traditional) nightlife
8514;Taqueria Cuernavaca;mexican tacos
8574;Due Lune Cucina;italian
8587;Frog Bar & Grill;bars american (traditional) nightlife cocktail bars
8611;State & A Bar and Grill;bars nightlife barbeque
8668;Yoshinoya;fast food japanese asian fusion
8742;Sakana Sushi Bar & Japanese;sushi bars japanese
8810;Dawn Patrol;coffee & tea breakfast & brunch american (new)
8811;Breakfast Culture Club;coffee & tea bakeries nightlife cafes bagels coffee roasteries coffeeshops
8868;Taqueria Rincon Alteno;mexican
8916;Backyard Bowls;coffee & tea ice cream & frozen yogurt breakfast & brunch specialty food american (new) juice bars & smoothies
8928;Ichiban;sushi bars japanese
8939;Tsukemono;sushi bars japanese
8995;Chase Restaurant;italian bars nightlife caterers
9210;IHOP;burgers american (traditional) breakfast & brunch american (new)
9528;University Club of Santa Barbara;specialty food party & event planning
9529;Palihouse Santa Barbara;cafes hotels & travel hotels
9537;Epiphany Restaurant;burgers american (new)
9578;Caffe Primo;coffee & tea pubs italian bars nightlife wine bars american (new) tapas/small plates
9670;Farmer Boy;burgers american (traditional) breakfast & brunch american (new)
9718;Yoichi's;bars nightlife japanese
9797;Mad Dogs;hot dogs
9851;TonyRay's Restaurant & Cantina;nightlife mexican dance clubs
9920;Maggie's at State and A;american (new) french beer wine & spirits
10277;Tuttini;breakfast & brunch american (new)
10288;Zen Yai Thai Cuisine;asian fusion american (new) thai pop-up restaurants
10687;Beans BBQ and Catering;caterers barbeque
