id;nom;genre
5750;Roman Forum;italian american (new)
5751;Joe's Pizza;pizza
5766;Impasto;italian food trucks
5791;PDQ Temple Terrace;fast food sandwiches chicken shop
5804;O'Briens Irish Pub;pubs bars nightlife irish music venues
5810;Lee Roy Selmon's;burgers salad soul food
5815;Four Green Fields;bars nightlife irish irish pub
5816;Cafe Con Leche;coffee & tea breakfast & brunch coffee roasteries
5822;Sake House;sushi bars japanese
5867;Soho Oasis Cafe;middle eastern
5870;The Silo Eatery Coffee Bakery;coffee & tea bakeries cafes
5873;El Sabor Boricua;caribbean latin american puerto rican
5878;MOSI Food Truck Rally;food stands local flavor festivals
5883;The Corner Cafe and Deli;burgers sandwiches cafes
5910;The Bricks;coffee & tea bars nightlife breakfast & brunch american (new) vegetarian
5913;Big Mike's BBQ;barbeque
5963;Tin Drum Asia Cafe;asian fusion
5978;KELP Sushi Joint;sushi bars japanese asian fusion acai bowls poke
5981;Hardee's;burgers fast food
5997;Sonny's BBQ;caterers barbeque
6025;The Humming Bird Jerk house;caribbean
6052;Portofino's Italian Kitchen;italian pizza
6054;Dio Modern Mediteranean;greek mediterranean
6055;Terra Sur Cafe;seafood latin american peruvian
6077;Taco Bell;fast food breakfast & brunch mexican tex-mex tacos
6096;Fuzzy's Taco Shop;sandwiches bars nightlife breakfast & brunch sports bars mexican tex-mex
6102;Orchid Thai Foods;asian fusion thai
6111;Harvest Bowl Eatery & Market;breakfast & brunch american (new) wraps vegan
6121;Island Fin Poke;hawaiian gluten-free poke
6145;Surf and Turf Cafe;sandwiches seafood
6169;Julian Restaurant;bars nightlife seafood cocktail bars tapas/small plates
6198;Amore Mio;italian pizza
6203;YO! Sushi;fast food sushi bars japanese
6211;Paradise Pizza Cafe;burgers breakfast & brunch pizza mediterranean kebab turkish
6215;EATS! American Grill;american (traditional) diners american (new)
6255;China Wok;chinese
6258;Villagio Cinemas;burgers italian bars nightlife pizza lounges cinema
6268;Twistee Treat - New Tampa;ice cream & frozen yogurt american (traditional) hot dogs juice bars & smoothies desserts
6271;Zaxby's Chicken Fingers & Buffalo Wings;fast food chicken wings salad chicken shop
6282;Gu Wei Noodles & Grill;chinese szechuan noodles
6294;Subway;fast food sandwiches
6304;Zeko's Mediterranean Grill;fast food greek mediterranean halal middle eastern falafel
6336;Burger King;burgers fast food
6402;Sulas;cuban
6410;ABC Pizza House;pizza
6415;Lan Zhou Lamen;seafood chicken wings chinese noodles
6421;Season's Fresh;american (traditional) breakfast & brunch cafes american (new) farmers market modern european
6422;Thai 5 Fast Food;american (traditional) food trucks sushi bars asian fusion salad thai noodles laotian pan asian
6478;Stefano Greek Italian Restaurant;italian american (traditional) greek breakfast & brunch desserts
6512;Five Star Pizza;pizza
6514;Caprichos;coffee & tea breakfast & brunch caribbean dominican
6523;Ranch House Restaurant;coffee & tea american (traditional) diners breakfast & brunch
6563;Toki Sushi;sushi bars japanese
6585;Yah Mon;caribbean
6596;Hiccups & Churroholic;ice cream & frozen yogurt asian fusion chicken wings juice bars & smoothies desserts
6602;Tokyo;sushi bars japanese chinese
6659;Submarine Gyro Town;greek breakfast & brunch
6661;Nicks Gyros and Subs;sandwiches seafood salad
6666;Irie Bay Cafe;caribbean
6674;The Enerjuicer;burgers salad specialty food juice bars & smoothies vegan acai bowls
6684;Kuchi Sushi & Hibachi;sushi bars japanese asian fusion teppanyaki
6725;El Manjar;latin american
6752;Popeyes Louisiana Kitchen;fast food american (traditional) chicken wings cajun/creole
6765;American Social;bars american (traditional) nightlife breakfast & brunch
6776;XT Munchies;specialty food juice bars & smoothies fruits & veggies mexican
6789;Hungry Howie's Pizza & Subs;sandwiches italian pizza chicken wings
6810;Franci's Cafe;cafes cuban
6819;Ballyhoo Grill;steakhouses seafood
6836;Wall St Pizza;pizza
6848;Sucre Table;bakeries
6883;Le Mouton Noir Bakehouse;bakeries cafes
6914;Chili's;bars american (traditional) nightlife chicken wings tex-mex
6916;Wendy's;burgers fast food breakfast & brunch
6925;Marty's Cafe;american (traditional) greek pizza
6967;The Brunchery;american (traditional) breakfast & brunch
6983;Romanos Pizza Express;pizza chicken wings cheesesteaks
7008;Sultan Market;specialty food halal middle eastern meat shops arabic
7011;Gourmet Pizza Company;pizza vegan gluten-free
7013;Mole y Abuela;bars nightlife cocktail bars mediterranean tapas/small plates spanish tapas bars
7060;German Bistro;german
7065;Los Comparres;food trucks seafood mexican street vendors
7077;Rickenbacker's;sandwiches bars nightlife cafes beer bar
7094;Twistee Treat - Sheldon;ice cream & frozen yogurt hot dogs juice bars & smoothies desserts
7105;Timpano Hyde Park;italian bars nightlife steakhouses cocktail bars music venues
7131;Kind Grinds;food trucks japanese korean
7133;Pupuseria & Cafeteria Centroamericana;latin american
7142;Earl of Sandwich;sandwiches salad caterers wraps food delivery services
7144;Centro Cantina;bars nightlife music venues karaoke tex-mex
7166;Checkers;burgers fast food
7177;Ava;italian bars nightlife breakfast & brunch wine bars pizza salad american (new) desserts
7181;Bayscape at Heritage Isles;sandwiches bars nightlife breakfast & brunch caterers tapas/small plates comfort food country clubs
7200;Mise En Place Bistro;bars nightlife wine bars pizza american (new) comfort food desserts
7232;Plato Latino;latin american
7252;Honey's;american (traditional)
7267;Luigi's Italian Restaurant;italian pizza
7301;Hot Willy's;american (traditional) hot dogs
7308;Chopstix;seafood chinese
7313;Taco Bus;mexican tacos
7334;Naviera Coffee Mills;coffee & tea
7335;La Giraldilla;bars nightlife cuban
7360;Monstah Lobstah;seafood
7365;Xtreme Tacos;food trucks mexican tex-mex tacos
7375;Tampa Pizza Co - Westchase;sandwiches italian bars nightlife pizza beer bar
7377;Kaisen Sushi;sushi bars japanese
7389;Mamas Kitchen;sandwiches american (traditional) breakfast & brunch american (new)
7413;Tijuana Flats;mexican tex-mex
7415;Embassy Suites by Hilton Tampa Downtown Convention Center;cafes hotels & travel hotels
7457;Frontier Steakhouse;burgers american (traditional) steakhouses
7460;Let Them Eat Cake;bakeries
7462;Pho An Hoa Restaurant;vietnamese
7481;Above The Salt Cafe;bars nightlife cafes cuban
7503;The Spaniard;american (traditional) latin american
7526;Ybor City Food Tours;hotels & travel local flavor cuban food tours
7564;Asados Al Carbon;breakfast & brunch cafes soup specialty food caterers barbeque ethnic food latin american food delivery services spanish colombian
7579;Boizao;steakhouses brazilian
7598;Kurry Xpress;vegetarian pakistani indian halal
7600;Papa John's Pizza;pizza
7602;Starbucks;coffee & tea
7609;Sips Specialty Coffee House;coffee & tea cafes internet cafes
7612;Sushi-Haru;sushi bars japanese seafood
