id;nom;genre
5746;China Dragon Restaurant;chinese
5758;Gavi Italian Restaurant;italian
5775;Papa Murphy's;pizza
5779;Home Plate Sports Pub;bars nightlife sports bars
5808;Rosati's Pizza;italian bars nightlife pizza sports bars
5840;Sher-e-Punjab;bars nightlife cocktail bars salad soup pakistani indian food delivery services halal
5857;Pita Pit;sandwiches
5888;La Bella China Restaurant;chinese
5916;Just Churros;food trucks caterers mexican desserts spanish
5987;Crush Gourmet Raspados;food trucks street vendors food stands desserts shaved ice
6041;Chick-fil-A;fast food caterers chicken shop
6044;China Sunrise Restaurant;chinese
6047;Rockabilly Grill;bars american (traditional) nightlife breakfast & brunch american (new) sports bars music venues dive bars pool halls
6053;Wendy's;burgers fast food
6072;August Rhodes Bakery;bakeries sandwiches caterers american (new)
6083;Domino's Pizza;sandwiches pizza chicken wings food delivery services
6089;Roadrunner Coffee Co.;coffee & tea american (traditional) juice bars & smoothies
6090;Fullyloves Restaurant;american (new) vegan
6104;Jack in the Box;burgers fast food breakfast & brunch mexican tacos
6119;Taco Bell;fast food breakfast & brunch mexican tex-mex tacos
6124;Whataburger;burgers fast food american (traditional)
6129;Cafe Jasper;american (new)
6159;Golden China Restaurant;chinese
6196;Famous Sam's Restaurant & Bar;burgers american (traditional)
6220;Venzo's Pizza;pizza
6264;Taqueria Pico De Gallo;mexican
6283;Sachiko Sushi;sushi bars japanese
6326;LeBuzz Caffe;coffee & tea sandwiches breakfast & brunch salad
6328;Abe's Place;sandwiches salad mediterranean vegetarian middle eastern
6329;Goodness Juice Bar & Fresh Food;sandwiches salad juice bars & smoothies
6344;Funland Raspados And Munchies;burgers juice bars & smoothies desserts shaved ice
6356;Persian Room Fine Dining;mediterranean persian/iranian
6371;The 81 Hong Kong Cafe;bubble tea coffee & tea asian fusion chinese hong kong style cafe taiwanese
6373;Little Caesars Pizza;fast food pizza
6384;Subway;fast food sandwiches
6502;St. Philips Plaza;nightlife shopping centers
6550;Prep & Pastry;sandwiches bars nightlife breakfast & brunch cocktail bars american (new) comfort food
6584;Mr. Baja Fish;seafood mexican
6587;Panda Express;fast food chinese
6614;Noble Hops;american (new) gastropubs
6660;Cafe Aqui;coffee & tea spanish
6669;The Mobile Bistro;sandwiches american (traditional) food trucks caterers barbeque street vendors
6702;Hooters;bars american (traditional) nightlife chicken wings sports bars beer wine & spirits
6730;Barrio Brewing;pubs bars american (traditional) nightlife breweries sports bars
6741;Eleven Caf;bubble tea coffee & tea cafes
6842;Nicos Mexican Food;mexican
6852;Sushi Nara;sushi bars japanese
6867;Wendy's;burgers fast food
6898;AJ's Fine Foods;bakeries
6900;Lucky Girl Cafe;sandwiches food trucks
6942;Honey Baked Ham Company;sandwiches cafes specialty food caterers meat shops
