id;nom;genre
5771;Taqueria Los Primos;mexican
6058;V-Trap Kitchen and Lounge;italian bars nightlife caterers lounges mexican vegan gluten-free vegetarian
6084;Season's Pizza;pizza
6150;8th & Union Kitchen;bars nightlife vietnamese breakfast & brunch asian fusion american (new) thai gluten-free
6495;Del Rose Cafe;italian
6697;Shawerma Palace;middle eastern
6719;Sakura Japanese Restaurant;sushi bars japanese noodles
6992;Brandywine Brewing Company Restaurant & Brewery;american (traditional) breweries
7140;Bardea Food & Drink;italian bars nightlife
7197;Mary's Kountry Kitchen;american (traditional) diners breakfast & brunch
7210;KFC;fast food chicken wings chicken shop
7358;Pizza Hut;italian pizza chicken wings
7536;Maryland Avenue Sub Shop;sandwiches cheesesteaks
7546;Subway Restaurants;fast food sandwiches
7551;Capital One 360 Cafe;coffee & tea cafes
7558;Little Caesars Pizza;italian pizza
7622;Subway;fast food sandwiches
8023;Hollywood Grill;diners
8187;Walt's Chicken Express;fast food southern soul food
8263;Ristorante Attilio;italian
8418;Red Robin Gourmet Burgers and Brews;burgers american (traditional)
8544;Cafe Napoli Restaurant & Pizzeria;italian pizza
8660;Pat's Pizzeria;pizza
8711;Piree's Piri Piri Grill;sandwiches chicken wings salad chicken shop
8763;Top China Buffet;chinese
8837;Eeffoc Cafe;coffee & tea sandwiches breakfast & brunch
8857;Philippine Bread House And Restaurant;bakeries filipino
9112;La Tonalteca;mexican
9118;La Tolteca;mexican
9119;Tokyo Sushi;sushi bars
9191;Wawa;coffee & tea sandwiches
9192;Subway;fast food sandwiches
9400;Mr. Pasta;italian caterers
9433;El Fogon De Tato;caribbean latin american puerto rican
9587;The Mayne Dish;american (new) caribbean
9737;Friendly's;burgers ice cream & frozen yogurt american (traditional) diners
9766;Piccolina Toscana;italian bars nightlife
9867;Grotto Pizza;burgers sandwiches pizza
9887;Chili's;bars american (traditional) nightlife tex-mex
9954;QDOBA Mexican Eats;fast food caterers mexican
10020;Russell's Quality Food;burgers breakfast & brunch barbeque local flavor
10033;Buffalo Wild Wings;burgers bars american (traditional) nightlife chicken wings sports bars
10149;Ciao's Trolley Pizza & Grill;pizza
10266;Bawarchi Indian Restaurant;chinese indian
10543;Bubble Shack;bubble tea sandwiches vietnamese asian fusion
10689;Cafe Verdi Restaurant;italian pizza
10750;Walter's Steakhouse;bars nightlife steakhouses seafood
10801;Mona Lisa;italian
10816;Fusion Spice Bar & Grille;bars nightlife latin american african new mexican cuisine
11017;Crossroads Restaurant;ice cream & frozen yogurt diners breakfast & brunch american (new)
11137;Riverfront Bakery;coffee & tea bakeries breakfast & brunch
11144;Masala Kitchen;vegan vegetarian indian
11563;China Inn;chinese
11590;Ciro Forty Acres;coffee & tea italian breakfast & brunch cafes
11617;Lucy's Pizza & Restaurant;pizza
11681;Margaux;bars nightlife cocktail bars french brasseries
11716;Adobo Alley;sandwiches breakfast & brunch chicken wings caterers american (new) filipino
11722;I M Coffee;coffee & tea sandwiches juice bars & smoothies
11848;Captain's Catch Seafood;seafood specialty food seafood markets
11949;Pete's Pizza;pizza
11975;Brown Bag Deli and Grocery;sandwiches
12018;Golden Castle Diner Restaurant;diners
12022;Cafe Scalessas;italian
12065;Piri Piri Grill;barbeque chicken shop
12118;Panera Bread;bakeries sandwiches breakfast & brunch salad soup bagels
12163;Wingstop;chicken wings
12264;Five Guys;burgers fast food american (new)
12423;Palace Of Asia;pakistani indian
12437;Kuteer;indian
12520;Coffee Beanery;coffee & tea
12527;Dragon Cuisine;american (traditional) chinese
12580;El Patron Restaurant;mexican
12611;Domaine Hudson;bars nightlife wine bars american (new) local flavor desserts
12647;Carmen's Kitchen;specialty food caribbean ethnic food latin american puerto rican imported food cuban
12751;Rosenfeld's Jewish Delicatessen;sandwiches caterers kosher
12816;Chick-fil-A;fast food american (traditional) caterers chicken shop
12840;FireStone Roasting House;bars nightlife pizza american (new) sports bars music venues
12999;El Diablo Burritos;fast food mexican southern tex-mex tacos
13114;Bangkok House Restaurant;thai
13222;PureBread Deli;sandwiches cafes salad soup
13245;Harry's Savoy Grill;american (traditional) steakhouses seafood
13429;Hong Kong Chinese Food Pick Up;chinese
13485;Celebrations on Market;bars nightlife salad caterers american (new) lounges cajun/creole southern soul food caribbean party & event planning
13550;Farmer & the Cow;burgers bars nightlife cocktail bars salad juice bars & smoothies beer wine & spirits
13665;ShopRite of Brandywine Commons;bakeries
13725;Tonic Seafood & Steak;burgers bars american (traditional) nightlife steakhouses caterers sports bars
14033;Mazzella's Italian Restaurant;sandwiches italian pizza
14292;Boston Market;sandwiches american (traditional) caterers chicken shop comfort food
14400;Steak Works;sandwiches pizza
14420;Paris Pizza;sandwiches pizza chicken wings cheesesteaks
14564;Uschy's Cafe;german
14711;Puff Daddy's Sandwich Shop;sandwiches italian breakfast & brunch
14828;Goat Kitchen and Bar;burgers bars nightlife american (new) vegetarian
14859;BellaVista Trattoria & Pizzeria;italian seafood pizza caterers
15140;Go Vegan Philly;bakeries burgers juice bars & smoothies vegan
15188;Christa-Bell's Caribbean Cuisine;caribbean
15273;Dunkin';coffee & tea donuts
15323;Govatos Candies;sandwiches american (traditional) specialty food
15416;Scratch Magoo's;pubs bars american (traditional) nightlife
15520;Cafe Riviera;italian pizza
15604;Party Pizza;pizza
15815;Dreamers Cafe;sandwiches cafes
15844;Grapes Real Jamaican Cuisine;caribbean
16176;Ameritage Bistro;american (new)
16455;Ubon Thai Cuisine;bars nightlife thai jazz & blues tapas/small plates
16459;Eeffoc's cafe;coffee & tea bakeries breakfast & brunch farmers market
16523;Lucky's Coffee Shop;burgers sandwiches diners breakfast & brunch
16584;Jerry Deen's Family Restaurant;breakfast & brunch comfort food
16615;Pho Son;vietnamese
16661;Deep Blue Bar & Grill;bars american (traditional) nightlife seafood
16662;Gallucio's;burgers italian pizza cheesesteaks
