id ,nom, genre 
5725;St Honore Pastries;bubble tea coffee & tea bakeries
5732;Tuna Bar;sushi bars japanese
5733;BAP;korean
5739;Bar One;italian bars nightlife cocktail bars
5741;DeSandro on Main;pizza salad soup
5743;Craft Hall;bakeries american (traditional) eatertainment brewpubs breweries
5760;Wawa;coffee & tea sandwiches gas stations convenience stores
5777;Golden Chopstick Chinese Restaurant;chinese
5782;J Sushi;sushi bars japanese seafood
5796;Wendy's;burgers fast food
5809;Red Hook Coffee & Tea;coffee & tea breakfast & brunch bagels vegan
5813;Shanghai Station;bars nightlife sushi bars asian fusion chinese sports bars lounges thai shanghainese szechuan karaoke
5819;Baltic Bakery;bakeries
5821;Brown Sugar Bakery & Cafe;bakeries cafes cupcakes caribbean trinidadian
5823;Jon's Bar & Grille;bars american (traditional) nightlife tex-mex
5833;Federal Donuts;sandwiches chicken wings donuts
5835;Fusion Pizza & Grill;pizza specialty food ethnic food
5839;Acadia;bars nightlife breakfast & brunch seafood cocktail bars cajun/creole southern
5856;Crown Fried Chicken;fast food
5860;The Love;burgers breakfast & brunch american (new)
5874;Jong Ka Jib;korean
5884;The Twisted Tail;bars american (traditional) nightlife american (new) whiskey bars
5892;Bistro St. Tropez;french
5900;NY Bagel Cafe & Deli;coffee & tea sandwiches breakfast & brunch american (new) bagels
5905;Mumbai Bistro;indian
5906;Whetstone Tavern;bars american (traditional) nightlife cocktail bars american (new) desserts
5907;Chick-fil-A;fast food american (traditional) breakfast & brunch caterers chicken shop
5908;Checkers;burgers fast food
5909;NY Bagel & Deli Shop;coffee & tea burgers breakfast & brunch bagels
5926;Cafe Victoria's;coffee & tea breakfast & brunch cafes
5936;KFC;fast food chicken wings chicken shop
5951;The Royal Indian Cuisine;indian
5953;McDonald's;coffee & tea burgers fast food
5961;The Irish Times;pubs bars nightlife beer wine & spirits irish
5973;24;italian bars nightlife breakfast & brunch wine bars
5995;Cedar Park Cafe;sandwiches diners breakfast & brunch vegetarian
6010;The Coventry Deli;sandwiches salad
6011;Sean Thorntons Public House;pubs bars nightlife caterers gastropubs beer wine & spirits irish irish pub
6012;Morton's The Steakhouse;bars american (traditional) nightlife steakhouses seafood
6030;Flambo Caribbean Restaurant;seafood caribbean trinidadian
6037;Wawa;coffee & tea sandwiches gas stations convenience stores
6040;Cosi;coffee & tea sandwiches pizza american (new) vegetarian
6065;Naoki Ramen;japanese ramen
6075;Minas Pizza;pizza
6081;The Lunar Inn;bars american (traditional) nightlife beer wine & spirits
6085;Ndulge;cafes thai cupcakes
6087;Chase's Hop Shop;sandwiches bars nightlife chicken wings gastropubs beer bar beer wine & spirits beer gardens
6098;Beck's Cajun Cafe;cajun/creole
6101;Golden Triangle;asian fusion thai malaysian burmese
6103;Benna's West;coffee & tea sandwiches juice bars & smoothies
6125;Breakfast Boutique Chestnut Hill;breakfast & brunch
6151;Tandoor Authentic Indian Restaurant;pakistani indian food delivery services halal buffets
6166;Forin Cafe;cafes
6170;Tony's Luke;cheesesteaks
6181;Sunoco;sandwiches
6204;Mood Cafe;coffee & tea ice cream & frozen yogurt cafes juice bars & smoothies pakistani indian halal
6213;Wilson's Market;sandwiches specialty food meat shops
6216;Southgate;bars american (traditional) nightlife breakfast & brunch korean cocktail bars gastropubs
6224;Tony Jr's;sandwiches cheesesteaks
6233;Falls Deli;sandwiches breakfast & brunch caterers bagels
6241;Angelina's;italian
6245;Crown Fried Chicken;fast food chicken wings
6267;Gigi and Big R;food trucks caribbean
6277;O Sole Mio;italian seafood pizza gelato sardinian
6296;Izumi;sushi bars japanese desserts
6298;Machismo Burrito Bar;mexican
6315;Just To Serve You Too;seafood southern soul food
6320;McDonald's;coffee & tea burgers fast food
6332;The Spot;greek breakfast & brunch pizza
6346;The Bourse;food court shopping centers
6349;Taqueria La Hacienda;latin american
6362;Zocalo;mexican
6363;Butter's Soul Food;caterers soul food
6380;Saladworks;sandwiches american (traditional) salad soup american (new) vegetarian do-it-yourself food
6381;Olly;burgers sandwiches bars nightlife breakfast & brunch wine bars pizza american (new) bagels comfort food
6387;Spice Grill;asian fusion chinese
6388;Han Dynasty;chinese szechuan
6393;Hakka Beef House;chinese
6412;Guavaberry Foods & Drinks ;cafes convenience stores
6416;Capogiro Gelato;coffee & tea ice cream & frozen yogurt pizza gelato
6428;Chenango Restaurant & Bar;bars nightlife barbeque
6430;John's Seafood;seafood
6435;The Blarney Stone;burgers pubs bars american (traditional) nightlife karaoke
6444;Junes Breakfast;coffee & tea sandwiches breakfast & brunch american (new)
6470;Lincoln Chicken Pizza And Grill;pizza chicken wings cheesesteaks
6479;The Farm and Fisherman;american (new)
6496;Urban Eatery;food court
6500;Dragon House;chinese
6530;Pho Nam Giang;vietnamese asian fusion chinese
6539;Grain Exchange;pubs bars american (traditional) nightlife american (new) gastropubs southern
6572;Chuck's Alibi;seafood
6590;J'aime French Bakery;coffee & tea bakeries cafes juice bars & smoothies
6593;Lucky Wok Restaurant;chinese
6601;About BBQ;barbeque
6607;Mike's Breakfast;breakfast & brunch
6629;Pub & Kitchen;pubs bars nightlife american (new)
6635;Quality Pizza;pizza
6638;Three 12 Sport Bar and Lounge;bars american (traditional) nightlife cocktail bars sports bars lounges
6639;Germantown Pizza;italian pizza desserts
6645;Hammerheads Bar & Grille;bars american (traditional) nightlife dive bars
6662;Square 1682;bars nightlife breakfast & brunch american (new)
6667;Archway Sandwich Shop;sandwiches breakfast & brunch
6681;Dmitri's;greek seafood mediterranean
6682;Franzone's Pizzeria & Restaurant;pizza
6706;Sonam;tapas bars
6728;Citi Market place;convenience stores vegan vegetarian
6729;Passero's Coffee Roasters;coffee & tea sandwiches coffee roasteries
6735;Wit or Witout Cheesesteaks;sandwiches cheesesteaks
6740;Johnny G's Pizza;pizza
6760;Domino's Pizza;pizza
