id;nom;genre
5801;530 Pub & Grill;burgers sandwiches bars american (traditional) nightlife beer bar wraps
5955;Hippie Hi;bubble tea coffee & tea salad vegan gluten-free tea rooms
5994;Auntie Anne's;bakeries pretzels
6156;Basimo Beach Cafe;coffee & tea breakfast & brunch cafes juice bars & smoothies
6257;The Little Lamb;pubs bars nightlife american (new) gastropubs
6499;JB'S Island Cafe;sandwiches breakfast & brunch cafes
6509;Hirois Ocean Grill;japanese
6555;Kul's Bar & Grill;american (traditional) latin american
6580;Shorty's Breakfast & Gourmet Deli;american (traditional) breakfast & brunch convenience stores cuban
6583;Jungle Bills Tiki Grill;sandwiches bars american (traditional) nightlife american (new) music venues tiki bars
6624;Angie's Restaurant;breakfast & brunch
6671;Frankie's Deli;sandwiches salad
6721;Pizza Hut;fast food italian pizza chicken wings
6748;Tijuana Flats;caterers mexican tex-mex desserts
6753;Union Burger;burgers
6957;Gunslingers;bars nightlife steakhouses barbeque dance clubs
7018;Skyline Chili;fast food sandwiches hot dogs salad american (new)
7478;Taqueria Chazumba;mexican
7617;Homestyle Deli & Pizza Resturant;italian
7756;Acapulco Loco;mexican
8028;In N Out Taco;mexican
8033;Joto Thai-Sushi Clearwater;sushi bars japanese thai
8044;Cheese ZZZ;pizza
8250;Wildflower Cafe;sandwiches breakfast & brunch salad
8350;Cafe 421;bakeries cafes
8364;Feather Sound Country Club;country clubs
8438;Saigon Bowl;vietnamese soup noodles
8537;Real Del Monte;mexican
8550;Cafe Ponte;cafes american (new)
8555;Saki Endless Sushi & Hibachi Eatery;sushi bars japanese salad soup
8601;Pancheros Mexican Grill;mexican
8717;Red Robin Gourmet Burgers and Brews;burgers fast food american (traditional)
8782;Proino Breakfast & Lunch;american (traditional) breakfast & brunch cafes pizza american (new) mediterranean
8816;Beef 'O' Brady's;pubs bars american (traditional) nightlife chicken wings american (new) sports bars
8830;Remys Cafe;breakfast & brunch creperies waffles
9229;Newk's Eatery;sandwiches american (traditional) pizza salad american (new)
9241;Marina Restaurant;american (traditional)
9385;Grindhouse;coffee & tea bakeries cafes
9416;Cove Cay Golf Club;american (traditional) american (new) country clubs
9535;Poblanos Mexican Grill & Bar;specialty food mexican ethnic food
9536;Applebee's Grill + Bar;burgers bars american (traditional) nightlife steakhouses chicken wings sports bars
9602;Cozy Corner;breakfast & brunch
9615;Waffle House;american (traditional) diners breakfast & brunch
9653;Clean Juice Safety Harbor;salad juice bars & smoothies acai bowls organic stores
10014;Pizza Hut;fast food italian pizza chicken wings
10045;China 88;chinese
10127;Deccan Spice;bars nightlife salad soup lounges indian buffets
10243;Florida Subs & Gyros;american (traditional) greek mexican
10356;Basil Fusion Bistro;vietnamese
10577;Jimmy John's;fast food sandwiches american (new) food delivery services
10618;La Chiquita, Taqueria Y Panaderia;mexican
10669;Our Place  - Clearwater;american (traditional) diners breakfast & brunch
